,P.Mut.TP53,P.Mut.KRAS,P.chr5.amp.single.1,P.chr8.amp.single.1,P.Mut.EGFR,P.chr14.amp.single.1,P.chr18.del.single.1,P.chr1.amp.single.3,P.chr13.del.single.1,P.chr15.del.single.1,P.chr17.del.single.1,P.Mut.STK11,P.Mut.KEAP1,P.Mut.RBM10,P.Mut.SMARCA4,P.Mut.ATM,P.Mut.NF1,P.Mut.PTPRD,P.Mut.ARID1A,P.Mut.PIK3CA,P.Mut.PTPRT,P.Mut.BRAF,P.Mut.EPHA3,P.Mut.SETD2,P.Mut.MGA,P.Mut.FAT1,P.Mut.RB1,P.Mut.MET,Seeding,Sampling
P.chr17.del.single.1,-0.09617675804581576,-0.09532200198122012,0.002568133768689315,0.018498159896127332,8.968084637287169e-05,-0.00197309823635065,1.1161405018774286,-0.00349898506678086,1.3002399304277494,0.5925488335635875,-3.680853617586135,-0.05110758375220868,-0.05895300940850962,0.0007356290199496446,-0.0013463246777606483,-0.0012063785287521596,-0.0041391621812349125,-0.002873400344562565,-0.007853736615053215,0.00028133501747021165,-0.0021026746755063836,0.0002938122620234092,-0.022768827631581924,1.5856380927607998e-05,-0.0004751810262798065,-0.004124515604655285,-0.0024527998312238474,-0.006189641560179115,-0.08861747041478632,0.0
P.Mut.STK11,-1.016414227838442,0.0002365298766117877,-0.05833373488929634,-0.004963561679913704,-2.3344173177342546,-0.7719418738649662,-0.25877313374594346,0.0001224247647663104,-0.0013803217320127138,-0.06411753981352572,0.00020163588300348536,-2.338762531564947,0.5879396757942758,-0.05304110304552559,0.0021752454607309605,-0.0011420467784326392,-0.006833291213148328,0.0006788275004884317,-0.0017702815910177693,-0.0031333275535806006,0.0011448103212273143,-0.0004137711082679373,-0.0006435499967950131,-0.0042359961397386145,-0.0019896511702953692,-0.0019920402680407277,-0.0014584729659851284,-0.2706820851018903,-0.8175163605996806,0.0
P.Mut.KEAP1,-0.08797200610874158,-0.020278555073072677,-0.10083817209380898,0.0015306636112025346,-1.8772021451116392,-0.5837944145516701,-0.0017044935218990416,-4.904529850409823e-05,0.004704315593151414,0.005977055284952405,-0.004941646485894093,1.881533966662605,-3.4671179248644934,-0.0059945190013617694,0.0035990677829860628,-0.06099387849130602,8.002228468383094e-05,-0.0008190823023131384,-0.0009066784070385208,-8.229162848043931e-05,-0.0011256734621002535,-0.0012768815808143262,-0.0007442250475507694,-0.0006513398723066999,-0.0008574546906451089,0.0004848640220034848,-0.0006889760057449829,-0.00276805587476103,-0.44892309299388294,0.0
P.Mut.RBM10,-1.3313731220945728,0.0019440588774645704,-0.23503338045416813,-0.07090724837310443,-0.0008588751614980678,-0.2619257359978232,-0.05364216417779252,-0.012173199416772702,-0.26948278663734665,-0.004230038469044192,0.005331735529021944,-0.290560605045271,0.005477955629254598,-2.727374510660567,0.00021457639718030938,0.0010491506952735761,0.001488839214297902,-0.0012422968449677845,-0.00013198173183476286,-0.00021878344012008776,-4.0053420693135565e-05,-0.0013689055876807544,3.380238729376428e-05,0.0018859593601719539,0.0014996035518435153,-0.001097091287543053,-0.0007633683498122245,-0.0012266941897688941,-1.2573514998924826,0.0
P.Mut.SMARCA4,-0.20992132804462588,0.0008666340667903265,-0.07980952853085034,-0.008051636577559123,-0.5780814815540658,-0.19708463724997383,8.85603824759216e-05,-0.0012480526657988175,-0.0014441452642437002,-0.0018153642344451116,-0.0008325618228744448,0.5487359855783945,0.8657109269531456,0.00027460188433362973,-4.283296238194001,-0.0007982313080674985,-0.00047459381484772926,0.0002609087952561422,-0.0004537083906466866,-0.00045226722620140853,0.0005132881982666773,-0.00017988297486392995,-0.0001020824708202303,0.0005666989887461166,-6.364353930810688e-05,0.0012325595880330008,-2.3503839660677435e-05,-0.0007165956205994468,-0.00307933473828667,0.0
P.Mut.ATM,-0.6602056064080152,0.5427023569898678,0.00697577432800288,-0.011144354961246787,-0.8083922149519011,0.00019322449916832905,5.523425488106887e-06,-0.0009699614278398361,-0.0005269401193625878,0.001578333125493017,-0.001059194108326166,-0.0004892483233554333,-0.004101116106281728,0.002778219930087138,-0.0010464492236288683,-3.950321121850024,-0.00012523277527787428,-0.0010183289030564885,0.0003904274710531921,-0.0010950244459443836,-0.00033103831624957077,-4.928267581955333e-05,-0.0006152319267670186,0.0005472945886951,0.001841337426493299,0.0007745872364915832,-0.0002113916321320894,6.8416601011969e-05,-0.13738519584401584,0.0
P.Mut.NF1,0.00046521242492410914,-0.5109694396092157,-0.0008799419944378297,-0.0021121753432202686,-1.6371863331229601,-0.002344528216060848,-0.00860060723477318,-0.007103127958008616,-0.0031943830533413993,-0.0038848328946347404,-0.0037343527379221104,-0.12314537446112536,-0.0012892418620562903,0.0011353752954124476,-0.0006298697924506062,-0.0007238993419027046,-3.573577129360993,0.0015351228295824193,0.0007636484760827384,-0.0005446456300691357,-0.0003879747358219103,8.699704832522463e-05,0.00022186421935731985,-0.0008065485396107065,0.00220322427624835,0.0010788190782711653,-0.00016841401874455086,-0.0006842857832668504,-0.5308926953584794,0.0
P.Mut.PTPRD,0.044091022560777654,0.00012449110244459898,-0.00044180033185344664,-0.005129087568553525,-1.145016700107889,-0.0024510081084651754,-0.0009750065809309325,0.0003453191377159114,-0.0024908040368076083,-0.00026391206289212645,-0.0012478759312259675,0.0006110511118317905,0.0015378117745288695,-0.0008696444108606079,0.0005138543798856077,-0.0010029330073974536,0.002410199974869836,-3.8861068103447445,0.000793108752703376,-0.0008103279366139956,0.009164088685741726,0.00044670922423581015,0.0013271695398991497,-0.0004035512535623568,0.0008456196783717012,0.001256759070740355,0.0002875430198172013,-0.001038260382783956,-0.591421294076081,0.0
P.Mut.ARID1A,0.000949627888952134,0.0006441789397700445,-0.0016246945158771028,-0.003286681529281331,-0.9210729024856168,-0.0018317307634373023,-0.0022364686120335893,-0.0006820582271167318,-0.004676647562789018,-0.0019223212048503082,0.0007503371836610892,-0.0018408017102597859,-0.0005540078952549483,-0.0003460291920345188,-3.076773454215984e-05,0.0006462256974421695,0.0007369207300562716,0.0005112051445877117,-4.279592336267839,0.002442732152189986,-3.9089322429490406e-05,-0.000211294552947857,0.0008575047832926868,0.001301653279979088,0.00042083230136639874,0.000953459460889034,-0.000301648927337376,-0.0004206759635880549,-0.0027852645547875683,0.0
P.Mut.PIK3CA,-0.006849697289130187,-0.0015824121625020438,-0.005293604279283451,0.006492738356260021,0.0008518555336538324,-0.041695491045999705,-0.02366396869567426,-0.0015236215046171462,-0.005102112870808205,-0.002772219170407259,0.0022200662405979614,-0.023637053005123507,-0.0016329377279280127,0.00032981751725414895,-0.0002467304933736618,-0.001035366585088075,7.494044145063151e-05,-0.000867631998373587,0.0022860631201524232,-4.070481675568582,-0.000696810383377616,0.0010158719673010895,-0.0004487250452818702,0.0011489335629392874,-0.00042635665396168165,5.011801685873561e-05,0.0013239298881041017,0.00046633991363021903,-0.8048296655618339,0.0
P.Mut.PTPRT,3.232048111477927e-05,-0.001596536278928753,-0.00042105101198394664,-0.0039321814856203875,-1.1097742320621662,0.00543641482565174,-0.0013688644599921947,0.0010325034624419655,-0.000702367349904927,0.0002631665630335912,-0.0013015612520355842,0.0036777713554998013,0.0008583400214930268,-8.831189645795918e-05,0.0005581260478194623,-0.00040338696786158476,0.00026395872240877794,0.007165852066878828,0.00015713923920324558,-0.0003476675265844931,-4.080709310688881,0.0004254294514072314,0.079053404360899,-3.674775463458166e-05,0.002362090304046506,0.0014110377282764855,-8.292856332314867e-05,0.0011778508650106415,-0.37438598637808795,0.0
P.Mut.BRAF,-0.21301063477467572,-0.7682022382395337,-0.0009973220257976111,-0.13115424780335275,-1.547980038490251,-0.03583687870274657,-0.017811010211638154,-0.0010802848369632953,-0.0032457404408130527,0.0022439365516935795,-0.0013157055845072496,-0.0005259144067761973,-0.0012191986122967733,-0.001343214119239526,-0.0003364746723244071,-0.0011008642197387246,-0.0005488056402094033,-9.772454305327107e-05,-0.0006450005031699443,-1.5090526734682014e-05,-0.0005562219374194903,-3.720900280136368,-0.0004506497110734866,0.02245432822924657,-0.00044647959136252346,-0.00015120401483542819,-0.0008787531844079378,-0.0015383819135858544,-0.6974571324278643,0.0
P.Mut.EPHA3,0.0020306703124038116,-0.0014760818477172208,0.0009710027628810613,-0.0011570200590909718,-0.8551045768381955,-0.0003153602617505289,0.00015977089363382113,-0.0005450586571574913,0.0004042193903259592,0.0014980315734438164,-0.0011651265303712298,-4.162623142521917e-05,0.0007431219400778539,0.0001278235960522205,0.0004976032666973596,-0.0006100518895421396,0.0009411929486373442,0.0012391688920705963,0.0004909249032403827,-6.94887157702224e-05,0.005070177977494644,0.00018403296902296228,-3.9673816531719175,-0.00030500579137739104,0.0020860303530914194,0.0011860733902759606,0.0004381645972353625,0.001956442453458338,-1.1373900221747393,0.0
P.Mut.SETD2,-0.44632278975626555,-0.05710141228338654,-0.33000893989516905,-0.024278883425262073,-0.7441613676058029,-0.3088332953962648,0.00014066313142036105,-0.006375616327953405,-0.001929739995839024,-0.0012490997874811244,-0.0007049061333390262,-0.054031426341218824,-0.0016118755703522895,0.0026681763890001294,0.0003959475181546995,-0.000442992082670533,-0.000808986016623525,-0.0006986749995051296,5.914902894385382e-05,0.0010138720609989803,-0.00028062104966026916,0.328871775458613,-0.0006550806462059161,-3.86871556488026,0.0002323534952137993,-0.00023726560340293906,-0.0006317027878029404,-0.0010414343025836382,-0.5269022367704502,0.0
P.Mut.MGA,-0.0009950965820930589,0.0006951850359112445,0.0006921430609962304,-0.0026914132736481616,-0.6108724812770719,-0.0021530707290518753,-0.00396149884525477,-0.0022080504368487807,-0.0020939098338326034,0.0011176492758008933,-0.0013381294485672432,-0.001602124362216056,-0.0003213352488148474,0.0015312195092061509,-0.00012958115963648072,0.001127113966815685,0.003556556473433321,0.0008257227303442251,5.089398951862501e-05,-0.0005664035907227257,0.0024617300696931485,-0.0001898328538282804,0.0024590937065483336,0.0002375405785686241,-4.1817807552904585,0.0014413302358681766,0.00031083245008378126,0.001732614007408496,-0.5703614897233321,0.0
P.Mut.FAT1,0.0012970916782671356,0.0012466361741573638,0.0014341962036924583,-0.0010870290617969592,-1.0409832799242256,0.004060771975326385,-0.0007636024243671448,-0.001056708057676913,-5.3443058115880004e-05,-0.0007704680546470464,-0.0016153880670615813,-0.000384641337848619,0.0009742149180775897,-0.0011182455381071777,0.0008112439381495919,0.0007314525062922911,0.0016256925285308532,0.0011819065549309264,0.001068032502832483,-3.197792982259477e-06,0.0014190363060678254,0.00030487323292333523,0.0012832570943950353,0.00012664365634086405,0.0013985805063378885,-4.16381459835897,0.0008677434959729034,-2.4593860970403424e-05,-0.6886064339780001,0.0
P.Mut.RB1,0.680173848292175,-0.039811786557419966,0.004975081138672561,-0.004423600977946857,0.002160069848966376,-0.0004567524685377154,0.00020451152385623866,0.0009379676607018934,0.0012071289142080097,0.0018219480562262893,-0.0001600134571707907,-0.003631175095436667,-0.0014027333515000287,-0.0002668286411395116,-4.0461284111896625e-06,-0.000787457466752136,-0.00013977331888380116,8.964013673644578e-05,-0.0002061411127959406,0.0007190647585756515,-0.00015346587888523378,-0.0009578904608335655,0.0005158338415518588,-0.0006805068157849778,-6.550003312852284e-05,0.0009943947406932268,-4.8281763931558785,0.0006443730483496219,-0.6171559539654677,0.0
P.Mut.MET,-0.6816091340698206,-1.541628487498756,0.0007204116429503846,-0.15968211930840207,-1.5995912695414212,-0.03468174831207167,-0.0017237785999057638,-0.11732739315507126,-0.0013355868700251697,-0.0019498965514965258,-0.0013877627361295593,-0.4060874895545907,-0.003896867369145355,-0.0009953057551499056,-0.0008859613737320526,-0.000150585975843784,-0.0009858477945297764,-0.001183316950171513,-0.0006083720252960193,0.00012780765426641003,0.0002531506975413645,-0.0011957687774863772,0.0005720474015326902,-0.0012035394447656113,0.00026644418304755504,-0.0005271030775502641,-3.670654812531994e-05,-3.390613659025203,-0.9438819914774884,0.0
Seeding,0.3866664318583756,-0.23647722344195074,-0.1278288269213826,-0.029053517583774394,0.08183395384719891,0.0015751236039124512,-0.08352703993661592,-0.16423498501693665,-0.07883603637805855,-0.6635348709118629,-0.012835811936218893,0.005323504712343324,0.022076285062941698,-0.2804148904368472,0.004483331944985496,0.0007053099931720703,-0.001123529159170266,-0.000968507575674796,0.0009788137004963075,-0.0013691929306186342,-0.004003217832449688,0.0009005222797553699,-0.22548950647171784,0.00027766949941347615,-0.022986036044141702,-0.004474389397918308,-0.0016107168192902109,0.0026298179863973427,-1.0708885128964527,0.0
